Probe;Gruppennummer;Probennummer;Standort;UTM_R;UTM_H;Humusauflage[cm];Oberboden[cm];Wurzelschicht[cm];Entnahmetiefe[cm];Volumen[cm^3];Ksat[cm/s];Wasserrgehalt[%];Lagerungsdichte[g/cm^3];Porositaet[-];Gluehverlust[%];pH_H2O;pH_CaCl2;Kies[%];gS[%];mS[%];fS[%];gU[%];mU[%];fU[%];Ton[%];Gesamt[%];Bodenart
G15P5;15;5;Trockenwiese;373054;5801769;NA;25;15;18;244.44;14.57;Mai 84;Jan 41;0.47;Feb 95;Mai 32;05. Sep;0;3;46;46;1;0.2;0;03. Aug;100;mSfs
G16P1;16;1;Kiefernwald;373121;5801752;7;7;8;9;247.2;38.39;04. Apr;1.205;0.545;02. Aug;Apr 93;Apr 68;0;7;46;46;0.3;0.1;0;0.6;100;mSfs
G16P2;16;2;Kiefernwald;373127;5801752;4;5;12;13;249.1;26.48;Jun 23;1.212;0.543;Mrz 55;Apr 46;Apr 33;4;5;47;41;0.7;0;0;02. Apr;100;mSfs
G16P3;16;3;Kiefernwald;373146;5801746;5;7;10;10;248.9;22.68;Mrz 41;Jan 46;0.449;Jan 82;Mai 34;04. Aug;2;9;51;36;0.1;0.4;0;01. Jun;100;mSfs
G16P4;16;4;Kiefernwald;373102;5801752;2;7;10;11;249.1;25. Apr;Feb 47;1.433;0.459;02. Jun;Mai 43;Apr 97;3;2;34;57;01. Apr;0.3;0.1;02. Feb;100;mSfs
G16P5;16;5;Kiefernwald;373133;5801752;4;5;11;12;250.3;23.36;Feb 67;1.467;0.446;Jan 49;Mai 48;05. Feb;0;8;54;37;0.1;0.2;0;0.7;100;mSfs
G17P1;17;1;Kiefernwald;373127;5801740;10;1;11;11;249.21;35.13;Apr 46;Jan 29;0.51;Feb 81;05. Jun;Apr 77;1;4;52;38;01. Jul;0.6;0;02. Jun;100;mSfs
G17P2;17;2;Kiefernwald;373140;5801746;11;1;12;12;249.22;48.37;Feb 59;Jan 36;0.49;Jan 41;Mai 18;04. Sep;0;5;55;40;0;0;0;0;100;mSfs
G17P3;17;3;Kiefernwald;373102;5801765;7;3;9;9;249.53;Dez 42;02. Jun;Jan 46;0.45;Feb 99;04. Jun;Apr 27;0;1;40;54;0.7;0;0.5;03. Aug;100;fSms
G17P4;17;4;Kiefernwald;373128;5801765;6;2;8;8;251.52;35.27;Apr 23;Jan 33;0.5;Mrz 25;Apr 88;Apr 26;1;6;48;41;01. Apr;0.1;0.3;02. Feb;100;fSms
G17P5;17;5;Kiefernwald;373115;5801777;6;6;11;11;249.32;19.37;Mrz 44;Jan 35;0.49;03. Apr;05. Mai;Apr 63;0;5;40;49;02. Jan;0.2;0.7;3;100;fSms
G18P1;18;1;Trockenwiese;373054;5801756;2;25;18;25;249.93;15.26;Mai 19;Jan 44;0.46;Feb 26;Mai 18;Apr 95;0;4;46;44;0.7;0.9;0;04. Apr;100;mSfs
G18P2;18;2;Trockenwiese;373054;5801731;2;28;21;28;252.81;18.85;Jun 72;Jan 27;0.52;Mrz 16;Mai 29;05. Feb;0;3;46;45;01. Jun;0.3;0;04. Jan;100;mSfs
G18P3;18;3;Trockenwiese;373030;5801769;1;25;15;22;249.41;27.52;Jun 18;Jan 21;0.54;Mrz 67;Apr 97;Apr 75;0;3;45;46;01. Feb;0.5;0.2;04. Jan;100;mSfs
G18P4;18;4;Trockenwiese;373036;5801769;1;20;13;20;250.7;89.49;Mai 76;Jan 36;0.49;Mrz 38;Apr 78;Apr 43;1;3;47;45;01. Jan;0.3;0;02. Jun;100;mSfs
G18P5;18;5;Trockenwiese;373035;5801744;2;24;14;20;248.97;18.33;Mai 84;Jan 37;0.48;Feb 92;Apr 94;Apr 65;0;3;45;43;01. Sep;01. Mrz;0;05. Aug;100;mSfs
